version,compatible,profile,policy,completion,stock_p50_completed,spend_all_runs
baseline,1,frugal,none,0.9983,61,0
baseline,1,frugal,refuges,0.99865,61,2.178
baseline,1,frugal,early_vendor,1,64,18.6462
baseline,1,central,none,0.738,38,0
baseline,1,central,refuges,0.7981,41,20.2626
baseline,1,central,early_vendor,0.99995,43,47.0538
baseline,1,intensive,none,0.01105,19,0
baseline,1,intensive,refuges,0.0357,24,2.4894
baseline,1,intensive,early_vendor,0.4824,24,60.0894
baseline,0.7,frugal,none,0.9707,30,0
baseline,0.7,frugal,refuges,0.98735,34,22.7556
baseline,0.7,frugal,early_vendor,1,36,35.8344
baseline,0.7,central,none,0.12825,13,0
baseline,0.7,central,refuges,0.32665,21,24.4368
baseline,0.7,central,early_vendor,0.9983,21,101.304
baseline,0.7,intensive,none,0,,0
baseline,0.7,intensive,refuges,0.00025,6,0.0414
baseline,0.7,intensive,early_vendor,0.093,7,26.3466
early_supply,1,frugal,none,0.99985,67,0
early_supply,1,frugal,refuges,0.9999,67,0.234
early_supply,1,frugal,early_vendor,1,68,2.2914
early_supply,1,central,none,0.9585,42,0
early_supply,1,central,refuges,0.98015,43,10.5444
early_supply,1,central,early_vendor,1,44,15.7464
early_supply,1,intensive,none,0.14535,20,0
early_supply,1,intensive,refuges,0.34515,24,20.3994
early_supply,1,intensive,early_vendor,0.7698,24,68.652
early_supply,0.7,frugal,none,0.9962,34,0
early_supply,0.7,frugal,refuges,0.99915,36,8.9226
early_supply,0.7,frugal,early_vendor,1,36,13.563
early_supply,0.7,central,none,0.3953,14,0
early_supply,0.7,central,refuges,0.7368,21,46.4778
early_supply,0.7,central,early_vendor,0.99965,21,75.2256
early_supply,0.7,intensive,none,0.00015,4,0
early_supply,0.7,intensive,refuges,0.01265,7,1.7856
early_supply,0.7,intensive,early_vendor,0.30965,7,71.4618
