variant,profile,usefulness,policy,runs,budget_completion,wilson_low,wilson_high,stock_p10_if_complete,stock_p50_if_complete,stock_p90_if_complete,average_gold_spent_all_runs
baseline,central,1,none,20000,0.73135,0.7251627650642444,0.737448376587667,26,37,49,0
baseline,central,1,refuges,20000,0.7918,0.7861170641497821,0.7973708594898452,31,41,51,20.3562
baseline,central,0.7,none,20000,0.12095,0.11650355358175922,0.12554203430172015,6,13,22,0
baseline,central,0.7,refuges,20000,0.3223,0.3158574184386452,0.32881083368348724,13,21,29,24.255
baseline,intensive,1,none,20000,0.01135,0.00997287070894281,0.012914813024765623,10,18,28,0
baseline,intensive,1,refuges,20000,0.0357,0.033216398120341786,0.038361933113794766,15,23,33,2.4588
baseline,intensive,0.7,none,20000,0,0,0.00019204311235897808,,,,0
baseline,intensive,0.7,refuges,20000,0.0002,0.00007777749831242644,0.000514188796801608,3,8,13,0.027
monotonic,central,1,none,20000,0.98845,0.9868725260914236,0.989839866992113,37,50,63,0
monotonic,central,1,refuges,20000,0.99115,0.9897543568188181,0.9923569992319117,38,50,63,2.8548
monotonic,central,0.7,none,20000,0.6567,0.6500899306901927,0.6632498829983938,8,17,28,0
monotonic,central,0.7,refuges,20000,0.8181,0.8126926856521973,0.8233851365197201,14,23,31,34.1082
monotonic,intensive,1,none,20000,0.36065,0.35402226498650613,0.3673312574289085,13,24,35,0
monotonic,intensive,1,refuges,20000,0.47665,0.46973306152256994,0.4835759068907774,17,26,36,15.2586
monotonic,intensive,0.7,none,20000,0.0011,0.0007265612632663787,0.0016650593542454097,0,3,7,0
monotonic,intensive,0.7,refuges,20000,0.02755,0.02537065177962277,0.029910809757245235,2,7,14,2.8872
