build,armor,kit,route,guard_rule,hp_scale,damage_scale,turns,won,hp_left,net_loss,gross_loss
duelliste,airain,aucun,puits,unlimited,0.8,0.8,3,True,90.8,19.2,19.2
duelliste,airain,aucun,puits,unlimited,0.8,1.0,3,True,86.0,24.0,24.0
duelliste,airain,aucun,puits,unlimited,0.8,1.2,3,True,81.2,28.8,28.8
duelliste,airain,aucun,puits,unlimited,1.0,0.8,3,True,90.8,19.2,19.2
duelliste,airain,aucun,puits,unlimited,1.0,1.0,3,True,86.0,24.0,24.0
duelliste,airain,aucun,puits,unlimited,1.0,1.2,3,True,81.2,28.8,28.8
duelliste,airain,aucun,puits,unlimited,1.2,0.8,4,True,81.2,28.8,28.8
duelliste,airain,aucun,puits,unlimited,1.2,1.0,4,True,74.0,36.0,36.0
duelliste,airain,aucun,puits,unlimited,1.2,1.2,4,True,66.8,43.2,43.2
duelliste,airain,aucun,porte,unlimited,0.8,0.8,6,True,77.48,32.52,32.52
duelliste,airain,aucun,porte,unlimited,0.8,1.0,6,True,69.35,40.65,40.65
duelliste,airain,aucun,porte,unlimited,0.8,1.2,6,True,61.23,48.77,48.77
duelliste,airain,aucun,porte,unlimited,1.0,0.8,6,True,77.48,32.52,32.52
duelliste,airain,aucun,porte,unlimited,1.0,1.0,6,True,69.35,40.65,40.65
duelliste,airain,aucun,porte,unlimited,1.0,1.2,6,True,61.23,48.77,48.77
duelliste,airain,aucun,porte,unlimited,1.2,0.8,7,True,68.19,41.81,41.81
duelliste,airain,aucun,porte,unlimited,1.2,1.0,7,True,57.74,52.26,52.26
duelliste,airain,aucun,porte,unlimited,1.2,1.2,7,True,47.29,62.71,62.71
duelliste,airain,aucun,barque,unlimited,0.8,0.8,5,True,82.13,27.87,27.87
duelliste,airain,aucun,barque,unlimited,0.8,1.0,5,True,75.16,34.84,34.84
duelliste,airain,aucun,barque,unlimited,0.8,1.2,5,True,68.19,41.81,41.81
duelliste,airain,aucun,barque,unlimited,1.0,0.8,6,True,72.84,37.16,37.16
duelliste,airain,aucun,barque,unlimited,1.0,1.0,6,True,63.55,46.45,46.45
duelliste,airain,aucun,barque,unlimited,1.0,1.2,6,True,54.26,55.74,55.74
duelliste,airain,aucun,barque,unlimited,1.2,0.8,6,True,55.39,54.61,54.61
duelliste,airain,aucun,barque,unlimited,1.2,1.0,6,True,41.74,68.26,68.26
duelliste,airain,aucun,barque,unlimited,1.2,1.2,6,True,28.09,81.91,81.91
duelliste,airain,purification,puits,unlimited,0.8,0.8,3,True,90.8,19.2,19.2
duelliste,airain,purification,puits,unlimited,0.8,1.0,3,True,86.0,24.0,24.0
duelliste,airain,purification,puits,unlimited,0.8,1.2,3,True,81.2,28.8,28.8
duelliste,airain,purification,puits,unlimited,1.0,0.8,3,True,90.8,19.2,19.2
duelliste,airain,purification,puits,unlimited,1.0,1.0,3,True,86.0,24.0,24.0
duelliste,airain,purification,puits,unlimited,1.0,1.2,3,True,81.2,28.8,28.8
duelliste,airain,purification,puits,unlimited,1.2,0.8,4,True,81.2,28.8,28.8
duelliste,airain,purification,puits,unlimited,1.2,1.0,4,True,74.0,36.0,36.0
duelliste,airain,purification,puits,unlimited,1.2,1.2,4,True,66.8,43.2,43.2
duelliste,airain,purification,porte,unlimited,0.8,0.8,6,True,77.48,32.52,32.52
duelliste,airain,purification,porte,unlimited,0.8,1.0,6,True,69.35,40.65,40.65
duelliste,airain,purification,porte,unlimited,0.8,1.2,6,True,61.23,48.77,48.77
duelliste,airain,purification,porte,unlimited,1.0,0.8,6,True,77.48,32.52,32.52
