build,route,best_loss,best_turns,best_armor,best_kit,worst_loss,worst_turns
duelliste,puits,15.48,3,sceau,aucun,24.0,3
duelliste,porte,40.65,6,airain,aucun,63.0,6
duelliste,barque,34.84,5,airain,ancrage,72.0,6
rempart,puits,0.0,5,sceau,aucun,4.0,5
rempart,porte,1.23,11,airain,aucun,19.0,11
rempart,barque,5.61,9,airain,ancrage,17.82,14
briseur,puits,23.23,4,sceau,aucun,36.0,4
briseur,porte,40.65,6,airain,aucun,63.0,6
briseur,barque,34.84,5,airain,ancrage,72.0,6
voltigeur,puits,38.71,5,sceau,aucun,60.0,5
voltigeur,porte,41.52,9,airain,aucun,64.35,9
voltigeur,barque,53.74,7,airain,ancrage,81.42,7
cendre,puits,23.23,4,sceau,aucun,36.0,4
cendre,porte,40.65,6,airain,aucun,63.0,6
cendre,barque,40.65,5,airain,ancrage,91.32,6
entrave,puits,24.19,7,sceau,purification,66.0,7
entrave,porte,24.52,18,airain,aucun,82.0,18
entrave,barque,38.45,10,airain,ancrage,74.55,10
sanguin,puits,15.19,4,sceau,aucun,27.96,4
sanguin,porte,24.5,6,airain,aucun,46.85,6
sanguin,barque,26.81,5,airain,ancrage,56.18,6
foudroyant,puits,23.23,4,sceau,aucun,36.0,4
foudroyant,porte,34.84,5,airain,aucun,54.0,5
foudroyant,barque,50.84,5,airain,aucun,64.32,5
