build,armor,kit,route,guard_rule,hp_scale,damage_scale,turns,won,hp_left,net_loss,gross_loss
rempart,airain,aucun,puits,unlimited,0.8,0.8,5,True,110.0,0.0,0.0
rempart,airain,aucun,puits,alternating,0.8,0.8,4,True,90.8,19.2,19.2
rempart,airain,aucun,puits,unlimited,0.8,1.0,5,True,106.0,4.0,4.0
rempart,airain,aucun,puits,alternating,0.8,1.0,4,True,86.0,24.0,24.0
rempart,airain,aucun,puits,unlimited,0.8,1.2,5,True,96.4,13.6,13.6
rempart,airain,aucun,puits,alternating,0.8,1.2,4,True,81.2,28.8,28.8
rempart,airain,aucun,puits,unlimited,1.0,0.8,5,True,110.0,0.0,0.0
rempart,airain,aucun,puits,alternating,1.0,0.8,5,True,71.6,38.4,38.4
rempart,airain,aucun,puits,unlimited,1.0,1.0,5,True,106.0,4.0,4.0
rempart,airain,aucun,puits,alternating,1.0,1.0,5,True,62.0,48.0,48.0
rempart,airain,aucun,puits,unlimited,1.0,1.2,5,True,96.4,13.6,13.6
rempart,airain,aucun,puits,alternating,1.0,1.2,5,True,52.4,57.6,57.6
rempart,airain,aucun,puits,unlimited,1.2,0.8,7,True,103.2,6.8,6.8
rempart,airain,aucun,puits,alternating,1.2,0.8,5,True,71.6,38.4,38.4
rempart,airain,aucun,puits,unlimited,1.2,1.0,7,True,92.0,18.0,18.0
rempart,airain,aucun,puits,alternating,1.2,1.0,5,True,62.0,48.0,48.0
rempart,airain,aucun,puits,unlimited,1.2,1.2,7,True,75.2,34.8,34.8
rempart,airain,aucun,puits,alternating,1.2,1.2,5,True,52.4,57.6,57.6
rempart,airain,aucun,porte,unlimited,0.8,0.8,10,True,110.0,0.0,0.0
rempart,airain,aucun,porte,alternating,0.8,0.8,8,True,77.48,32.52,32.52
rempart,airain,aucun,porte,unlimited,0.8,1.0,10,True,108.77,1.23,1.23
rempart,airain,aucun,porte,alternating,0.8,1.0,8,True,69.35,40.65,40.65
rempart,airain,aucun,porte,unlimited,0.8,1.2,10,True,104.13,5.87,5.87
rempart,airain,aucun,porte,alternating,0.8,1.2,8,True,61.23,48.77,48.77
rempart,airain,aucun,porte,unlimited,1.0,0.8,11,True,110.0,0.0,0.0
rempart,airain,aucun,porte,alternating,1.0,0.8,8,True,77.48,32.52,32.52
rempart,airain,aucun,porte,unlimited,1.0,1.0,11,True,108.77,1.23,1.23
rempart,airain,aucun,porte,alternating,1.0,1.0,8,True,69.35,40.65,40.65
rempart,airain,aucun,porte,unlimited,1.0,1.2,11,True,104.13,5.87,5.87
rempart,airain,aucun,porte,alternating,1.0,1.2,8,True,61.23,48.77,48.77
rempart,airain,aucun,porte,unlimited,1.2,0.8,12,True,110.0,0.0,0.0
rempart,airain,aucun,porte,alternating,1.2,0.8,11,True,49.61,60.39,60.39
rempart,airain,aucun,porte,unlimited,1.2,1.0,12,True,108.77,1.23,1.23
rempart,airain,aucun,porte,alternating,1.2,1.0,11,True,34.52,75.48,75.48
rempart,airain,aucun,porte,unlimited,1.2,1.2,12,True,104.13,5.87,5.87
rempart,airain,aucun,porte,alternating,1.2,1.2,11,True,19.42,90.58,90.58
rempart,airain,aucun,barque,unlimited,0.8,0.8,9,True,109.91,0.09,0.09
rempart,airain,aucun,barque,alternating,0.8,0.8,8,True,73.97,36.03,36.03
rempart,airain,aucun,barque,unlimited,0.8,1.0,9,True,104.39,5.61,5.61
rempart,airain,aucun,barque,alternating,0.8,1.0,8,True,64.97,45.03,45.03
rempart,airain,aucun,barque,unlimited,0.8,1.2,9,True,98.86,11.14,11.14
rempart,airain,aucun,barque,alternating,0.8,1.2,8,True,55.96,54.04,54.04
rempart,airain,aucun,barque,unlimited,1.0,0.8,14,True,109.82,0.18,0.18
rempart,airain,aucun,barque,alternating,1.0,0.8,9,True,69.33,40.67,40.67
rempart,airain,aucun,barque,unlimited,1.0,1.0,14,True,98.77,11.23,11.23
rempart,airain,aucun,barque,alternating,1.0,1.0,9,True,59.16,50.84,50.84
rempart,airain,aucun,barque,unlimited,1.0,1.2,14,True,87.73,22.27,22.27
rempart,airain,aucun,barque,alternating,1.0,1.2,9,True,48.99,61.01,61.01
rempart,airain,aucun,barque,unlimited,1.2,0.8,14,True,109.82,0.18,0.18
rempart,airain,aucun,barque,alternating,1.2,0.8,11,True,60.04,49.96,49.96
rempart,airain,aucun,barque,unlimited,1.2,1.0,14,True,98.77,11.23,11.23
rempart,airain,aucun,barque,alternating,1.2,1.0,11,True,47.55,62.45,62.45
rempart,airain,aucun,barque,unlimited,1.2,1.2,14,True,87.73,22.27,22.27
rempart,airain,aucun,barque,alternating,1.2,1.2,11,True,35.06,74.94,74.94
rempart,airain,purification,puits,unlimited,0.8,0.8,5,True,110.0,0.0,0.0
rempart,airain,purification,puits,alternating,0.8,0.8,4,True,90.8,19.2,19.2
rempart,airain,purification,puits,unlimited,0.8,1.0,5,True,106.0,4.0,4.0
rempart,airain,purification,puits,alternating,0.8,1.0,4,True,86.0,24.0,24.0
rempart,airain,purification,puits,unlimited,0.8,1.2,5,True,96.4,13.6,13.6
rempart,airain,purification,puits,alternating,0.8,1.2,4,True,81.2,28.8,28.8
rempart,airain,purification,puits,unlimited,1.0,0.8,5,True,110.0,0.0,0.0
rempart,airain,purification,puits,alternating,1.0,0.8,5,True,71.6,38.4,38.4
rempart,airain,purification,puits,unlimited,1.0,1.0,5,True,106.0,4.0,4.0
rempart,airain,purification,puits,alternating,1.0,1.0,5,True,62.0,48.0,48.0
rempart,airain,purification,puits,unlimited,1.0,1.2,5,True,96.4,13.6,13.6
