normal_loss,elite_loss,boss_loss,salves,origin,paths,feasible_paths,highest_final_hp
8,19,45,0,puits,160,40,54
8,19,45,0,porte,80,12,19
8,19,45,0,barque,40,6,19
8,19,45,2,puits,160,104,65
8,19,45,2,porte,80,20,55
8,19,45,2,barque,40,10,55
8,19,45,4,puits,160,148,65
8,19,45,4,porte,80,52,65
8,19,45,4,barque,40,26,65
12,26,45,0,puits,160,8,1
12,26,45,0,porte,80,0,0
12,26,45,0,barque,40,0,0
12,26,45,2,puits,160,28,37
12,26,45,2,porte,80,0,0
12,26,45,2,barque,40,0,0
12,26,45,4,puits,160,72,65
12,26,45,4,porte,80,12,26
12,26,45,4,barque,40,6,26
16,33,45,0,puits,160,0,0
16,33,45,0,porte,80,0,0
16,33,45,0,barque,40,0,0
16,33,45,2,puits,160,0,0
16,33,45,2,porte,80,0,0
16,33,45,2,barque,40,0,0
16,33,45,4,puits,160,8,11
16,33,45,4,porte,80,0,0
16,33,45,4,barque,40,0,0
