"id","name","rarity","scenarios","legal","damageP","guardP","hpSaved","damagePerAP","upgradeDamageGain","base","upgrade"
"n01","Estoc","normal","48","40","0.55","0","0","61.6","16.8","{""id"":""n01"",""name"":""Estoc"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":1,""damage"":0.55,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.7000000000000001}}","{""damage"":0.7000000000000001}"
"n02","Garde brève","normal","48","48","0.25","0.45","50.4","28","0","{""id"":""n02"",""name"":""Garde brève"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":0,""max"":0,""damage"":0,""op"":""guard"",""amount"":0.45,""type"":""physical"",""shape"":""single"",""upgrade"":{""amount"":0.7}}","{""amount"":0.7}"
"n03","Pas latéral","normal","48","48","0","0","0","0","0","{""id"":""n03"",""name"":""Pas latéral"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":2,""damage"":0,""op"":""move"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""max"":3,""amount"":3}}","{""max"":3,""amount"":3}"
"n04","Heurt","normal","48","40","0.25","0","112","28","16.8","{""id"":""n04"",""name"":""Heurt"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":1,""damage"":0.25,""op"":""push"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.4}}","{""damage"":0.4}"
"n05","Trait court","normal","48","40","0.45","0","0","50.4","16.8","{""id"":""n05"",""name"":""Trait court"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":2,""max"":4,""damage"":0.45,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.6}}","{""damage"":0.6}"
"n06","Repérage","normal","48","40","0.2","0","0","22.4","16.8","{""id"":""n06"",""name"":""Repérage"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":4,""damage"":0.2,""op"":""mark"",""amount"":0.35,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.35}}","{""damage"":0.35}"
"n07","Entrave légère","normal","48","40","0.2","0","0","22.4","16.8","{""id"":""n07"",""name"":""Entrave légère"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":3,""damage"":0.2,""op"":""slow"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.35}}","{""damage"":0.35}"
"n08","Recentrage","normal","48","48","0","0","0","0","0","{""id"":""n08"",""name"":""Recentrage"",""affinity"":""shared"",""rarity"":""normal"",""ap"":1,""min"":0,""max"":0,""damage"":0,""op"":""draw"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""amount"":3}}","{""amount"":3}"
"a01","Ouvrir la garde","normal","48","40","0.35","0","0","39.2","16.8","{""id"":""a01"",""name"":""Ouvrir la garde"",""affinity"":""assassin"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":2,""damage"":0.35,""op"":""mark"",""amount"":0.45,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.5}}","{""damage"":0.5}"
"a02","Frapper la faille","normal","48","40","1.9","0","0","106.4","16.8","{""id"":""a02"",""name"":""Frapper la faille"",""affinity"":""assassin"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":1,""damage"":0.95,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""condition"":""marked"",""bonus"":0.55,""upgrade"":{""damage"":1.0999999999999999}}","{""damage"":1.0999999999999999}"
