"kind","id","n","meanDeltaCards","meanDeltaHp","changed","winDelta"
"gear","w_blade","24","-0.458333","-0.000486","11","0"
"gear","w_bow","24","-0.083333","0.023129","24","0"
"gear","w_staff","24","-0.375","0.00375","5","0"
"gear","b_leather","24","0","0.008758","21","0"
"gear","b_plate","24","0.25","-0.009703","23","0"
"gear","b_robe","24","-0.333333","0.019006","20","0"
"gear","h_watch","24","0.291667","0.029273","24","0"
"gear","h_bronze","24","-0.416667","0.005058","23","0"
"gear","h_sage","24","-0.333333","0.012411","20","0"
"gear","f_quick","24","-0.25","0.007608","21","0"
"gear","f_brace","24","-0.458333","0.00482","20","0"
"gear","f_flow","24","-0.166667","0.01434","24","0"
"gear","s_life","24","0","0.011234","21","0"
"gear","s_care","24","-0.125","0.002535","21","0"
"gear","s_guard","24","-0.375","0.011724","20","0"
"gear","j_cup","24","-0.041667","0.042183","21","0"
"gear","j_shard","24","-0.75","0.002617","23","0"
"gear","j_eye","24","-0.041667","0.045627","23","0"
"relic","thread","24","0","0","0","0"
"relic","bronze","24","-0.166667","0.029192","15","0"
"relic","embers","24","-0.291667","-0.008098","6","0"
"relic","obole","24","0","0","24","0"
"relic","archive","24","-0.083333","0.000178","13","0"
"relic","mirror","24","-0.291667","0.011098","17","0"
"relic","cup","24","0.041667","0.042824","20","0"
"relic","seal","24","-0.958333","0.015786","16","0"
"spec","execution","6","-0.166667","0.015397","3","0"
"spec","ambush","6","0","0.088158","6","0"
"spec","bastion","6","-1.5","0.004341","6","0"
"spec","crusher","6","0.166667","0.011266","4","0"
"spec","sniper","6","-2","-0.006805","6","0"
"spec","skirmish","6","0","0.005556","2","0"
"spec","pyre","6","-0.333333","0.000694","2","0"
"spec","frost","6","0.166667","0.001536","5","0"
