"scenario","class","spec","n","wins","rate","ciLow","ciHigh","earlyFailures","meanCards","medianFinalStock","medianWinStock","meanGold","failureFights"
"v1","assassin","execution","25","24","0.96","0.804555","0.992904","1","73.84","36","36","240.28","{""3"":1}"
"v1","assassin","ambush","25","23","0.92","0.750335","0.97778","1","72.56","36","36","232.28","{""3"":1,""7"":1}"
"v1","gardien","bastion","25","19","0.76","0.565699","0.885038","2","88.28","23","27","195.64","{""3"":2,""7"":2,""12"":2}"
"v1","gardien","crusher","25","17","0.68","0.484099","0.82795","2","82.92","22","26","201.44","{""3"":2,""6"":1,""7"":1,""8"":1,""10"":2,""12"":1}"
"v1","arpenteur","sniper","25","23","0.92","0.750335","0.97778","0","84.36","32","33","222.28","{""9"":1,""10"":1}"
"v1","arpenteur","skirmish","25","20","0.8","0.608687","0.911395","0","90.84","26","28","207.32","{""7"":1,""8"":1,""10"":1,""12"":2}"
"v1","thaumaturge","pyre","25","18","0.72","0.52423","0.857163","1","84.56","21","24","209.48","{""3"":1,""7"":2,""10"":2,""12"":2}"
"v1","thaumaturge","frost","25","16","0.64","0.445182","0.797523","1","80.44","23","27","201.24","{""3"":1,""6"":1,""7"":2,""8"":1,""10"":3,""12"":1}"
"greedy","assassin","execution","10","0","0","0","0.27754","10","6","12","0","75","{""2"":10}"
"greedy","gardien","bastion","10","0","0","0","0.27754","10","12.9","10","0","103","{""2"":2,""3"":8}"
"greedy","arpenteur","sniper","10","3","0.3","0.107789","0.603227","3","43","18","35","148.6","{""3"":3,""5"":2,""6"":1,""7"":1}"
"greedy","thaumaturge","pyre","10","0","0","0","0.27754","5","28.5","12","0","122.6","{""2"":2,""3"":3,""5"":3,""7"":1,""12"":1}"
"aggressive","assassin","execution","10","1","0.1","0.017876","0.404156","9","22.2","10","25","115.9","{""3"":9}"
"aggressive","gardien","bastion","10","1","0.1","0.017876","0.404156","7","34.4","10","30","128.6","{""3"":7,""8"":1,""9"":1}"
"aggressive","arpenteur","sniper","10","4","0.4","0.168178","0.68733","0","79.8","18","32","198.8","{""7"":1,""8"":1,""9"":1,""10"":2,""12"":1}"
"aggressive","thaumaturge","pyre","10","3","0.3","0.107789","0.603227","1","73.6","12","22","165.2","{""3"":1,""6"":1,""8"":3,""10"":2}"
"conserve","assassin","execution","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"conserve","gardien","bastion","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"conserve","arpenteur","sniper","10","0","0","0","0.27754","8","14.4","14","0","110.5","{""2"":2,""3"":6,""7"":2}"
"conserve","thaumaturge","pyre","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"no_rare","assassin","execution","10","9","0.9","0.595844","0.982124","0","77.1","35","35","242.5","{""12"":1}"
"no_rare","gardien","bastion","10","8","0.8","0.490157","0.943319","0","89.6","20","23","190.9","{""7"":2}"
"no_rare","arpenteur","sniper","10","8","0.8","0.490157","0.943319","0","82.6","32","32","234.4","{""10"":1,""12"":1}"
"no_rare","thaumaturge","pyre","10","8","0.8","0.490157","0.943319","1","84.4","20","30","217.2","{""3"":1,""12"":1}"
"no_shops","assassin","execution","10","8","0.8","0.490157","0.943319","0","75","47","47","494.3","{""7"":1,""12"":1}"
"no_shops","gardien","bastion","10","6","0.6","0.31267","0.831822","0","90.1","24","29","477.3","{""7"":1,""8"":1,""12"":2}"
"no_shops","arpenteur","sniper","10","8","0.8","0.490157","0.943319","0","87.7","40","40","518.2","{""12"":2}"
"no_shops","thaumaturge","pyre","10","5","0.5","0.23659","0.76341","1","77.5","25","47","444.5","{""3"":1,""8"":2,""12"":2}"
"no_gear","assassin","execution","10","10","1","0.72246","1","0","78.4","35","35","527.1","{}"
"no_gear","gardien","bastion","10","7","0.7","0.396773","0.892211","0","91.4","19","22","464.8","{""7"":1,""8"":1,""12"":1}"
