level,power,vitality,resolve,maxHp,p,armor,magicResist,guardBonus,apMax,mpMax,handMax,mods,physicalEHP,basicDamage,normalGuard,normalHit
"1","0","0","6","110","18","0.12","0","0.30000000000000004","4","3","5","{}","125","5.040000000000001","10.53","9.9"
"1","0","1","5","117","18","0.1","0","0.25","4","3","5","{}","130","5.040000000000001","10.125","9.9"
"1","0","2","4","123","18","0.08","0","0.2","4","3","5","{}","133.69565217391303","5.040000000000001","9.719999999999999","9.9"
"1","0","3","3","130","18","0.06","0","0.15000000000000002","4","3","5","{}","138.29787234042553","5.040000000000001","9.315","9.9"
"1","0","4","2","136","18","0.04","0","0.1","4","3","5","{}","141.66666666666669","5.040000000000001","8.91","9.9"
"1","0","5","1","143","18","0.02","0","0.05","4","3","5","{}","145.91836734693877","5.040000000000001","8.505","9.9"
"1","0","6","0","150","18","0","0","0","4","3","5","{}","150","5.040000000000001","8.1","9.9"
"1","1","0","5","110","18.900000000000002","0.1","0","0.25","4","3","5","{}","122.22222222222221","5.292000000000001","10.631250000000001","10.395000000000001"
"1","1","1","4","117","18.900000000000002","0.08","0","0.2","4","3","5","{}","127.17391304347825","5.292000000000001","10.206000000000001","10.395000000000001"
"1","1","2","3","123","18.900000000000002","0.06","0","0.15000000000000002","4","3","5","{}","130.85106382978725","5.292000000000001","9.78075","10.395000000000001"
"1","1","3","2","130","18.900000000000002","0.04","0","0.1","4","3","5","{}","135.41666666666669","5.292000000000001","9.355500000000001","10.395000000000001"
"1","1","4","1","136","18.900000000000002","0.02","0","0.05","4","3","5","{}","138.77551020408163","5.292000000000001","8.930250000000001","10.395000000000001"
"1","1","5","0","143","18.900000000000002","0","0","0","4","3","5","{}","143","5.292000000000001","8.505","10.395000000000001"
"1","2","0","4","110","19.8","0.08","0","0.2","4","3","5","{}","119.56521739130434","5.5440000000000005","10.692","10.89"
"1","2","1","3","117","19.8","0.06","0","0.15000000000000002","4","3","5","{}","124.46808510638299","5.5440000000000005","10.2465","10.89"
"1","2","2","2","123","19.8","0.04","0","0.1","4","3","5","{}","128.125","5.5440000000000005","9.801","10.89"
"1","2","3","1","130","19.8","0.02","0","0.05","4","3","5","{}","132.6530612244898","5.5440000000000005","9.355500000000001","10.89"
"1","2","4","0","136","19.8","0","0","0","4","3","5","{}","136","5.5440000000000005","8.91","10.89"
"1","3","0","3","110","20.7","0.06","0","0.15000000000000002","4","3","5","{}","117.02127659574468","5.796","10.71225","11.385"
"1","3","1","2","117","20.7","0.04","0","0.1","4","3","5","{}","121.875","5.796","10.246500000000001","11.385"
"1","3","2","1","123","20.7","0.02","0","0.05","4","3","5","{}","125.51020408163265","5.796","9.78075","11.385"
"1","3","3","0","130","20.7","0","0","0","4","3","5","{}","130","5.796","9.315","11.385"
"1","4","0","2","110","21.599999999999998","0.04","0","0.1","4","3","5","{}","114.58333333333334","6.048","10.692","11.879999999999999"
